,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EispE_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhemE_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpurF_enzyme_backward_efficiency,0.32049357891082764,20669.9019,0.001,20.669901900000003,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TptsG_enzyme_backward_efficiency,0.32049357891082764,1334026.4422,0.001,1334.0264422,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EispD_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmenB_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Epyk_enzyme_backward_efficiency,0.32049357891082764,94172.2834,0.001,94.1722834,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EribAB1_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EilvD2_enzyme_forward_efficiency,0.32049357891082764,33697.7612,0.001,33.6977612,0.32049382192126075,0.32049327326433286,5.486569278900788e-07,8.140851325904683e-09,0.0008559561938099454
EilvC1_enzyme_forward_efficiency,0.32049357891082764,2925.0585,0.001,2.9250585,0.32049438894560467,0.320492738382967,1.6505626376783766e-06,2.8214181659586924e-07,0.002575032303747995
EmenH_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Epdh_enzyme_backward_efficiency,0.32049357891082764,107348.389,0.001,107.348389,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ehom_enzyme_forward_efficiency,0.32049357891082764,34833.8545,0.001,34.8338545,0.32049374091778304,0.32049334967595655,3.9124182649175054e-07,5.615827362598511e-09,0.000610373892390224
Endk3_enzyme_backward_efficiency,0.32049357891082764,751.3702,0.001,0.7513702,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EphoA_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EppaC_enzyme_forward_efficiency,0.32049357891082764,195552.7439,0.001,195.5527439,0.32049382192126075,0.32049327326433286,5.486569278900788e-07,1.4028361784855498e-09,0.0008559561938099454
Es18_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eeno_enzyme_backward_efficiency,0.32049357891082764,151928.1612,0.001,151.9281612,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisC2_enzyme_backward_efficiency,0.32049357891082764,13746.1166,0.001,13.746116599999999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EytxM_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EbioW_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EribD2_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpurEK_enzyme_backward_efficiency,0.32049357891082764,20943.4112,0.001,20.9434112,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EbioB_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EargD_enzyme_backward_efficiency,0.32049357891082764,13722.9394,0.001,13.7229394,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EtagB_enzyme_backward_efficiency,0.32049357891082764,19126.4338,0.001,19.1264338,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EywlF_enzyme_forward_efficiency,0.32049357891082764,718426.762,0.001,718.426762,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
