,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EbioD_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Etpi_enzyme_backward_efficiency,0.32049357891082764,215201.4153,0.01,2152.014153,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EglyQS_enzyme_forward_efficiency,0.32049357891082764,42874.5399,0.01,428.745399,0.3204952799838594,0.32049182144348265,3.4585403767550815e-06,4.033326520613089e-09,0.0005395646908915711
EpurC_enzyme_backward_efficiency,0.32049357891082764,18545.4407,0.01,185.454407,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcitZ_enzyme_forward_efficiency,0.32049357891082764,37429.1087,0.01,374.291087,0.3205198240376035,0.32046675843091066,5.3065606692825895e-05,7.088815167648634e-08,0.008278731647786083
EhisHF_enzyme_forward_efficiency,0.32049357891082764,86193.3556,0.01,861.933556,0.32049365991430534,0.32049342608758025,2.3382672509342228e-07,1.3564080633926632e-10,3.647915909705026e-05
EyfkN5_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.01,5.1165650000000005,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tsul_enzyme_backward_efficiency,0.32049357891082764,2838989.867,0.01,28389.898670000002,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TfeuABC_enzyme_backward_efficiency,0.32049357891082764,428075.5745,0.01,4280.755745,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EdhbEBF_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpucLM_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eatp_efficiency,0.32049357891082764,2618983.163333333,0.01,26189.83163333333,0.32127048326547936,0.3197030242520782,0.0015674590134011623,2.9924953992567203e-08,0.24453828665273875
EcoaBC2_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ezwf_enzyme_backward_efficiency,0.32049357891082764,197996.7564,0.01,1979.9675640000003,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EsufS_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Epsd_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EispG_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ea17_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,1.9123832655752879e-10,1.1920928955078125e-05
EmraY_enzyme_backward_efficiency,0.32049357891082764,20171.206,0.01,201.71205999999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tlys_enzyme_backward_efficiency,0.32049357891082764,295144.3562,0.01,2951.443562,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EilvE1_enzyme_forward_efficiency,0.32049357891082764,786035.0071,0.01,7860.350071000001,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,4.860573829720847e-12,1.1920928955078125e-05
Tlic_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
Theme_enzyme_backward_efficiency,0.32049357891082764,372530.9854,0.01,3725.309854,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EargI_enzyme_backward_efficiency,0.32049357891082764,80768.3129,0.01,807.683129,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ecmk3_enzyme_forward_efficiency,0.32049357891082764,2688.0632,0.01,26.880632000000002,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmetC_enzyme_forward_efficiency,0.32049357891082764,21126.7249,0.01,211.26724900000002,0.32049406493169386,0.32049304402946177,1.0209022320850636e-06,2.4161393612056347e-09,0.00015927030980691093
EmnaA_enzyme_forward_efficiency,0.32049357891082764,13636.6921,0.01,136.366921,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,5.771748025253436e-10,2.4558230141972138e-05
