Enzyme	Concentration
TptsG_enzyme	7.838256868776566e-06
TfruA_enzyme	0.0
TfruLev_enzyme	0.0
TmalP_enzyme	0.0
TsacP_enzyme	0.0
TmanP_enzyme	0.0
TmtlA_enzyme	0.0
TtreP_enzyme	0.0
Tlic_enzyme	0.0
Tgmu_enzyme	0.0
TgamP_enzyme	0.0
TnagP_enzyme	0.0
TmurP_enzyme	0.0
TgutP_enzyme	0.0
TglpF_enzyme	0.0
TiolF_enzyme	0.0
Trbs_enzyme	0.0
TgntP_enzyme	0.0
TaraE_enzyme	0.0
TaraPQ_enzyme	0.0
Tpyr_enzyme	0.0
TdctP1_enzyme	0.0
TdctP2_enzyme	0.0
TcitM_enzyme	0.0
TcimH1_enzyme	0.0
Takg_enzyme	0.0
TmaeN_enzyme	0.0
TcimH2_enzyme	0.0
Tack_enzyme	4.812039973464522e-05
Tact_enzyme	0.0
TlctP_enzyme	0.0
Tform_enzyme	1.4092282247406831e-07
Tala_enzyme	0.0
Targ_enzyme	0.0
Targ2_enzyme	0.0
Tasn_enzyme	0.0
Tasp_enzyme	0.0
Tcys_enzyme	0.0
Tcys2_enzyme	0.0
TglnT_enzyme	0.0
Tgln2_enzyme	0.0
TgltT_enzyme	0.0
Tgly_enzyme	0.0
This_enzyme	0.0
Tile_enzyme	0.0
Tleu_enzyme	0.0
Tlys_enzyme	0.0
Tmet_enzyme	0.0
Tmet2_enzyme	0.0
Tphe_enzyme	0.0
Tpro_enzyme	0.0
Tser_enzyme	0.0
Tthr_enzyme	0.0
Ttrp_enzyme	0.0
Ttyr_enzyme	0.0
Tval_enzyme	0.0
Tade_enzyme	0.0
TpbuG_enzyme	0.0
TpbuO_enzyme	0.0
TpbuX_enzyme	0.0
TpyrP_enzyme	0.0
Tado_enzyme	0.0
Tguo_enzyme	0.0
Tino_enzyme	0.0
Tcto_enzyme	0.0
Tdado_enzyme	0.0
Turi_enzyme	0.0
Tcti_enzyme	0.0
Tthy_enzyme	0.0
Tdguo_enzyme	0.0
Turt_enzyme	0.0
Taloi_enzyme	0.0
Tthi_enzyme	0.0
Theme_enzyme	0.0
TribU_enzyme	0.0
Tfol_enzyme	0.0
Tpan_enzyme	0.0
