Reaction	Flux
TptsG	9.681890670096031
TfruA	0.0
TfruLev	0.0
TmalP	0.0
TsacP	0.0
TmanP	0.0
TmtlA	0.0
TtreP	0.0
Tlic	0.0
Tgmu	0.0
TgamP	0.0
TnagP	0.0
TmurP	0.0
TgutP	0.0
TglpF	0.0
TiolF	0.0
Trbs	0.0
TgntP	0.0
TaraE	0.0
TaraPQ	0.0
Tpyr	0.0
TdctP1	0.0
TdctP2	0.0
TcitM	0.0
TcimH1	0.0
Takg	0.0
TmaeN	0.0
TcimH2	0.0
Tack	-8.188346154553642
Tact	0.0
TlctP	0.0
Tform	-0.017742082561482565
Tala	0.0
Targ	0.0
Targ2	0.0
Tasn	0.0
Tasp	0.0
Tcys	0.0
Tcys2	0.0
TglnT	0.0
Tgln2	0.0
TgltT	0.0
Tgly	0.0
This	0.0
Tile	0.0
Tleu	0.0
Tlys	0.0
Tmet	0.0
Tmet2	0.0
Tphe	0.0
Tpro	0.0
Tser	0.0
Tthr	0.0
Ttrp	0.0
Ttyr	0.0
Tval	0.0
Tade	0.0
TpbuG	0.0
TpbuO	0.0
TpbuX	0.0
TpyrP	0.0
Tado	0.0
Tguo	0.0
Tino	0.0
Tcto	0.0
Tdado	0.0
Turi	0.0
Tcti	0.0
Tthy	0.0
Tdguo	0.0
Turt	0.0
Taloi	0.0
Tthi	0.0
Theme	0.0
TribU	0.0
Tfol	0.0
Tpan	0.0
Tnia	0.0
TbioY	0.0
Tnh3	6.999622584746362
Tnh3b	0.0
Tno3	0.0
Tno2	0.0
Tno2b	0.0
To2	13.667040722897468
Tqox	17.977073471482502
Tcyd	0.0
Tcta	11.157128679443664
Tsul	0.12089911005375598
Tp	0.4842957637285963
Tp2	0.0
Tco2	-13.899728983786956
TmgtE	0.0009122980349178577
TfeuABC	0.0
TefeNU	0.00017871821444259695
Tyfm	0.0
Tmnt	0.0
TmntH	0.0001636877418604854
Tcu2	2.534251132146892e-05
Tadc	0.0003910099866589059
TchaA	0.0
TcitH	0.0
TykuT	0.4522696409391074
Tmrp	0.0
Th	36.61081042055365
Th2o	-32.88397168163777
EnasBC	0.0
EnasDE	0.0
EptsH	9.681890670095981
EptsI	9.681890670095981
EfruB	0.0
EmalA	0.0
EsacA	0.0
EmanA	0.0
EmtlD	0.0
EtreA	0.0
ElicH1	0.0
ElicH2	0.0
EglcK	0.0
EgutB	0.0
EgmuE	0.0
ErbsK	0.0
EglpK	2.9720812988281246e-06
EglpD	0.0
EiolG	0.0
EiolE	0.0
EiolD	0.0
EiolC	0.0
EiolJ	0.0
EiolA	0.0
EgntK	0.0
EaraA	0.0
EaraB	0.0
EaraD	0.0
Epgi	5.023211712762304
Epfk	7.351562097198212
Efbp	0.0
EglpX	0.0
Efba	7.351562097198212
Etpi	6.9558547640237975
EgapA	15.429183485667068
EgapB	0.0
Epgk	15.429183485667068
Epgm	14.511116422318537
Eeno	14.511116422318537
Epyk	4.189367749313291
Epdh	9.467737199703853
Epta	7.388991964908591
EackA	7.388991964908591
EacsA	0.0
EdhaS	0.0
Eldh	0.0
EalsS	0.0
EalsD	0.0
Eaco	0.0
Ezwf	4.358267081954636
Egnd	4.358267081954636
EywlF	1.8850580061033497
Erpe	2.47269032584245
Etkt1	1.3800118761729436
EywjH	1.3800118761729436
Etkt2	1.0926784496695063
Epyc	2.223348613938849
EcitZ	0.8063943618266497
EcitB	0.8063943618266194
EcitC	0.8063943618266497
Eodh	0.0
Esuc	0.0
Esdh	0.0
EcitG	0.586899587762332
Emdh	0.557357248533549
Epck	0.0
EmalS	0.0
EmaeA	0.0
EmleA	0.02954233922878355
EytsJ	0.0
Eprs	0.5050461299304471
EpurF	0.21498289135119789
EpurD	0.21498289135119789
EpurN	0.21498289135115556
EpurLQ	0.21498289135119789
EpurM	0.21498289135119789
EpurEK	0.2147682237365413
EpurC	0.2147682237365413
EpurB	0.2147682237365413
EpurH	0.29224445690812056
EpurA	0.1871224898632923
EpurB2	0.1871224898632923
Eadk	5.009243848132026
EguaA	0.10512196704482825
EguaB	0.10512196704482825
EguaC	0.0
Egdp	0.139529153650297
Egtp	7.570308520631556
EpyrAB	0.0
EpyrB	0.1659572599984358
EpyrC	0.1659572599984358
EpyrKD	0.1659572599984358
EpyrE	0.1659572599984358
EpyrF	0.1659572599984358
EpyrH	0.2833959107016426
Ecmk2	0.03628678179961753
Eutp	0.655977756783841
EpyrG	0.10291104514812184
Ecdp	0.3940385702945832
Enrd1	0.025891277911341604
Enrd2	0.014560291589305052
Enrd3	0.011217314776558851
Enrd4	0.0
Egmk2	0.0
Eadk2	0.0
Ecmk3	0.0
Ecmk4	-0.014622294250443701
EthyB	0.014622294250443701
EcomEB	0.014622294250443701
Etmk	0.014622294250443701
Endk1	0.014560291589305052
Endk2	0.011217314776558851
Endk3	0.011268983660897902
Endk4	0.014622294250443701
EycgT	0.17392478782657425
Endh	26.9491369896067
EyutJ	0.0
Eqcr	10.320344028485389
Enar	0.0
Eatp	22.0886056891418
EppaC	6.221129997563767
EytiB	-2.230892171345772
EkatA	0.5519155936397216
EsodA	0.3641775268865771
EalaT	0.5690090716896937
EalaS	0.303842165429813
